id,hugo,info,entrez,created_at,updated_at
397,SEMA7A,,8482,,
398,EFHD1,,80303,,
399,HAPLN1,,1404,,
400,KRT81,,3887,,
401,NEUROG1,,4762,,
402,ANKH,,56172,,
403,CLDN23,,137075,,
404,TALDO1,,6888,,
405,RNF207,,388591,,
406,GNAT1,,2779,,
407,PDIA3,,2923,,
408,NME4,,4833,,
409,NSUN2,,54888,,
410,BICC1,,80114,,
411,STAT1,,6772,,
412,PF4,,5196,,
413,ATP13A4,,84239,,
414,CD109,,135228,,
415,HS3ST2,,9956,,
416,PLXNB3,,5365,,
417,TMSB15A,,11013,,
418,SPINK4,,27290,,
419,IL10,,3586,,
420,DDX58,,23586,,
421,CHGB,,1114,,
422,AATK,,9625,,
423,SPRY2,,10253,,
424,C22orf31,,25770,,
425,PRSS16,,10279,,
426,TFPI2,,7980,,
427,PLXNA2,,5362,,
428,ANK1,,286,,
429,LCA5L,,150082,,
430,FAF2,,23197,,
431,SP140L,,93349,,
432,INPP5D,,3635,,
433,AIDA,,64853,,
434,HIST1H2BK,,85236,,
435,ADAM8,,101,,
436,ART3,,419,,
437,MOSC2,,54996,,
438,PTPRO,,5800,,
439,SPAG11A,,653423,,
440,CD247,,919,,
441,GOLGA4,,2803,,
442,TRAPPC2,,6399,,
443,EGF,,1950,,
444,APOE,,348,,
445,STAT4,,6775,,
446,AXL,,558,,
447,LONRF1,,91694,,
448,KRT23,,25984,,
449,KRT4,,3851,,
450,SCG5,,6447,,
451,MAST3,,23031,,
452,NDNF,,79625,,
453,DHRS9,,10170,,
454,RSAD2,,91543,,
455,RTN1,,6252,,
456,IVL,,3713,,
457,REEP2,,51308,,
458,IL18,,3606,,
459,MSN,,4478,,
460,TMEM181,,57583,,
461,PTH1R,,5745,,
462,SAMD10,,140700,,
463,CHAF1B,,8208,,
464,GREB1,,9687,,
465,FGB,,2244,,
466,DLK1,,8788,,
467,SGOL1,,151648,,
468,CD52,,1043,,
469,MCM5,,4174,,
470,DUSP2,,1844,,
471,NUDCD3,,23386,,
472,PTX3,,5806,,
473,MATK,,4145,,
474,LTBR,,4055,,
475,ALPPL2,,251,,
476,MAD1L1,,8379,,
477,MAB21L1,,4081,,
478,GATA2,,2624,,
479,SCD,,6319,,
480,GINS3,,64785,,
481,PSCA,,8000,,
482,AQP5,,362,,
483,GSDMC,,56169,,
484,SIX5,,147912,,
485,TNFRSF12A,,51330,,
486,FGA,,2243,,
487,ARL6IP1,,23204,,
488,NEDD9,,4739,,
489,SERGEF,,26297,,
490,BIK,,638,,
491,NDUFA4L2,,56901,,
492,LHX6,,26468,,
493,GSTT2,,2953,,
494,ADRB1,,153,,
495,TCF7L2,,6934,,
496,LOC51190,,51190,,
497,KCNJ4,,3761,,
498,HP1BP3,,50809,,
499,RELB,,5971,,
500,SLC12A5,,57468,,
501,SLC16A4,,9122,,
502,PRDX2,,7001,,
503,ZNF703,,80139,,
504,LOC645238,,645238,,
505,TMEM155,,132332,,
506,GPRC5A,,9052,,
507,GEMIN5,,25929,,
508,SRC,,6714,,
509,XIST,,7503,,
510,GALC,,2581,,
511,ETS2,,2114,,
512,HMGB2,,3148,,
513,BST2,,684,,
514,GAGE3,,2575,,
515,MGP,,4256,,
516,FAM105A,,54491,,
517,HSD3B1,,3283,,
518,OSGIN1,,29948,,
519,CNGB3,,54714,,
520,PLA2G16,,11145,,
521,HIST1H2AC,,8334,,
522,C13orf15,,28984,,
523,ZNF446,,55663,,
524,NDUFC1,,4717,,
525,FAM182B,,728882,,
526,AGXT,,189,,
527,BRCA1,,672,,
528,KCNB2,,9312,,
529,MAOB,,4129,,
530,ALPK3,,57538,,
531,SLC10A2,,6555,,
532,NR1D2,,9975,,
533,NOL8,,55035,,
534,SMA4,,11039,,
535,SOCS3,,9021,,
536,C1orf210,,149466,,
537,APOC2,,344,,
538,GJB5,,2709,,
539,GADD45G,,10912,,
540,TGM1,,7051,,
541,CYP26A1,,1592,,
542,FGF21,,26291,,
543,KCNJ16,,3773,,
544,CCND1,,595,,
545,ITGA5,,3678,,
546,PENK,,5179,,
547,SLC7A5,,8140,,
548,CORO7,,79585,,
549,C16orf5,,29965,,
550,GPR68,,8111,,
551,C1orf106,,55765,,
552,TPD52,,7163,,
553,SMOC2,,64094,,
554,KCNJ14,,3770,,
555,ADRB2,,154,,
556,CCKBR,,887,,
557,NR2E3,,10002,,
558,SQLE,,6713,,
559,DAK,,26007,,
560,RARS,,5917,,
561,COL1A2,,1278,,
562,APPL1,,26060,,
563,MYOM3,,127294,,
564,SUCNR1,,56670,,
565,GLRA2,,2742,,
566,PLLP,,51090,,
567,DOCK9,,23348,,
568,CDKN1A,,1026,,
569,CD177,,57126,,
570,OSM,,5008,,
571,SYT1,,6857,,
572,LOC654096,,654096,,
573,MYC,,4609,,
574,TAT,,6898,,
575,COL4A5,,1287,,
576,DUSP5,,1847,,
577,COL4A1,,1282,,
578,BHMT,,635,,
579,WSCD2,,9671,,
580,KIAA1033,,23325,,
581,NEDD4,,4734,,
582,FCAR,,2204,,
583,RGS1,,5996,,
584,FCER2,,2208,,
585,FAM83A,,84985,,
586,BTLA,,151888,,
587,PLCH1,,23007,,
588,P2RY14,,9934,,
589,CCL4,,6351,,
590,ZNF480,,147657,,
591,COBL,,23242,,
592,TBK1,,29110,,
593,EPB41L4B,,54566,,
594,CRYZ,,1429,,
595,FKBP14,,55033,,
596,PKI55,,150967,,
597,NEAT1,,283131,,
598,GZMH,,2999,,
599,KRT16,,3868,,
600,MEGF8,,1954,,
601,PPBP,,5473,,
602,ATP6V1B1,,525,,
603,ZP4,,57829,,
604,SLC5A5,,6528,,
605,NRCAM,,4897,,
606,SPRR3,,6707,,
607,HABP2,,3026,,
608,CCNL2,,81669,,
609,TXNDC12,,51060,,
610,KLF2,,10365,,
611,VPS37B,,79720,,
612,MSMB,,4477,,
613,HSPB8,,26353,,
614,DUSP4,,1846,,
615,PITX2,,5308,,
616,MCM10,,55388,,
617,FRRS1,,391059,,
618,MCM4,,4173,,
619,SLC22A14,,9389,,
620,GRIN2C,,2905,,
621,KRT7,,3855,,
622,PVALB,,5816,,
623,CAV1,,857,,
624,PLK3,,1263,,
625,LRIG3,,121227,,
626,BCAR3,,8412,,
627,HHEX,,3087,,
628,ZWILCH,,55055,,
629,SLC6A20,,54716,,
630,FAM3B,,54097,,
631,TAS2R14,,50840,,
632,GAS1,,2619,,
633,LEF1,,51176,,
634,WNT11,,7481,,
635,SGCG,,6445,,
636,GPER,,2852,,
637,PDLIM3,,27295,,
638,NEFL,,4747,,
639,PHOSPHO2,,493911,,
640,AKR1B1,,231,,
641,GDNF,,2668,,
642,N6AMT1,,29104,,
643,ELAVL2,,1993,,
644,TNFAIP3,,7128,,
645,KCNJ15,,3772,,
646,AGPAT4,,56895,,
647,EPB41L3,,23136,,
648,PRSS3,,5646,,
649,SMAD5,,4090,,
650,AXIN2,,8313,,
651,EIF3CL,,728689,,
652,MMP15,,4324,,
653,PLEKHG2,,64857,,
654,LFNG,,3955,,
655,C1QTNF3,,114899,,
656,RAB31,,11031,,
657,MTHFD2,,10797,,
658,SLC6A14,,11254,,
659,GAGE7,,2579,,
660,KIAA1199,,57214,,
661,PPARG,,5468,,
662,RIPK4,,54101,,
663,AIM1L,,55057,,
664,PFKFB4,,5210,,
665,ANKRD46,,157567,,
666,LIN7A,,8825,,
667,TOM1L2,,146691,,
668,TM7SF4,,81501,,
669,TBKBP1,,9755,,
670,STC2,,8614,,
671,NDOR1,,27158,,
672,RCN3,,57333,,
673,RNF125,,54941,,
674,KLK1,,3816,,
675,CYP2C18,,1562,,
676,DNTT,,1791,,
677,VLDLR,,7436,,
678,OGDHL,,55753,,
679,MYL10,,93408,,
680,TTC18,,118491,,
681,RAB3IL1,,5866,,
682,CITED1,,4435,,
683,RAI1,,10743,,
684,NEFH,,4744,,
685,APOA1,,335,,
686,IFI6,,2537,,
687,VNN2,,8875,,
688,FAP,,2191,,
689,ADAM12,,8038,,
690,HLA-DPA1,,3113,,
691,DMRT1,,1761,,
692,NOTCH3,,4854,,
693,ADAMTS1,,9510,,
694,KLHL21,,9903,,
695,FBXO4,,26272,,
696,RS1,,6247,,
697,TNC,,3371,,
698,SLC7A7,,9056,,
699,STX7,,8417,,
700,FBLN2,,2199,,
701,SEC23A,,10484,,
702,GPN3,,51184,,
703,SLC25A34,,284723,,
704,TBR1,,10716,,
705,C1orf130,,400746,,
706,PSAT1,,29968,,
707,CACNA1E,,777,,
708,TLR3,,7098,,
709,C19orf21,,126353,,
710,MAFF,,23764,,
711,KRT85,,3891,,
712,MYOZ1,,58529,,
713,DUSP1,,1843,,
714,NDN,,4692,,
715,SLC28A1,,9154,,
716,ITGB6,,3694,,
717,RHBDL1,,9028,,
718,SIAE,,54414,,
719,AKAP10,,11216,,
720,ZFP36L2,,678,,
721,FGL2,,10875,,
722,C6orf141,,135398,,
723,BMX,,660,,
724,TDO2,,6999,,
725,JPH1,,56704,,
726,PID1,,55022,,
727,TDRD1,,56165,,
728,SRPX,,8406,,
729,SERPINE2,,5270,,
730,GCH1,,2643,,
731,PDGFA,,5154,,
732,MAP3K4,,4216,,
733,CDC45,,8318,,
734,BIRC5,,332,,
735,LOC51336,,51336,,
736,HOXD12,,3238,,
737,POU3F2,,5454,,
738,PCP4,,5121,,
739,KLK12,,43849,,
740,SPRR1B,,6699,,
741,AICDA,,57379,,
742,SELENBP1,,8991,,
743,IGFBP7,,3490,,
744,YIPF1,,54432,,
745,M6PR,,4074,,
746,STAT6,,6778,,
747,GRSF1,,2926,,
748,DLC1,,10395,,
749,CYP1B1,,1545,,
750,LTC4S,,4056,,
751,GALNS,,2588,,
752,EFNA5,,1946,,
753,RELA,,5970,,
754,MMP14,,4323,,
755,BAG1,,573,,
756,LMAN2,,10960,,
757,PPIB,,5479,,
758,GDF5,,8200,,
759,SPRY4,,81848,,
760,MVD,,4597,,
761,MT1H,,4496,,
762,SAA2,,6289,,
763,PDIA5,,10954,,
764,ZNF746,,155061,,
765,IDI1,,3422,,
766,PDE1B,,5153,,
767,OSBPL8,,114882,,
768,TCF25,,22980,,
769,LMO2,,4005,,
770,KRT32,,3882,,
771,ETV5,,2119,,
772,STMN2,,11075,,
773,DECR2,,26063,,
774,WNT5B,,81029,,
775,CSF2RB,,1439,,
776,KCNJ9,,3765,,
777,ARSF,,416,,
778,MYL2,,4633,,
779,NUDT6,,11162,,
780,IL8,,3576,,
781,CDON,,50937,,
782,ZNF324,,25799,,
783,PLXNC1,,10154,,
784,PRSS2,,5645,,
785,TAF1D,,79101,,
786,CD151,,977,,
787,CDKN2C,,1031,,
788,RAP1A,,5906,,
789,RRP12,,23223,,
790,LOC644951,,644951,,
791,FCGR1A,,2209,,
792,MAL2,,114569,,
793,IFRD1,,3475,,
794,SGPP1,,81537,,
795,COL5A2,,1290,,
796,CSGALNACT1,,55790,,
797,LOC643326,,643326,,
798,CHM,,1121,,
799,HIST2H2BE,,8349,,
800,ANGPTL4,,51129,,
801,XRCC3,,7517,,
802,LOC155060,,155060,,
803,OPRK1,,4986,,
804,GPR37L1,,9283,,
805,ZNF32,,7580,,
806,TP53TG5,,27296,,
807,C1orf183,,55924,,
808,RPGRIP1,,57096,,
809,CAMP,,820,,
810,CYP2B6,,1555,,
811,FAM13B,,51306,,
812,PCK2,,5106,,
813,FRMD1,,79981,,
814,EMP1,,2012,,
815,ADM2,,79924,,
816,MAPK8IP2,,23542,,
817,SFN,,2810,,
818,CDHR1,,92211,,
819,RPP25,,54913,,
820,TINAGL1,,64129,,
821,PHF21A,,51317,,
822,GBX2,,2637,,
823,CTRC,,11330,,
824,GRM1,,2911,,
825,LSAMP,,4045,,
826,DOK5,,55816,,
827,SLPI,,6590,,
828,MEFV,,4210,,
829,ESRP1,,54845,,
830,MRPS35,,60488,,
831,CADPS2,,93664,,
832,WISP1,,8840,,
833,TMEM158,,25907,,
834,BSPRY,,54836,,
835,AGRN,,375790,,
836,C14orf159,,80017,,
837,ACP5,,54,,
838,SNCG,,6623,,
839,SELK,,58515,,
840,FAM20A,,54757,,
841,CASP12,,100506742,,
842,GDA,,9615,,
843,DKK3,,27122,,
844,AGAP1,,116987,,
