ENTREZID	SYMBOL
2810	SFN
7531	YWHAE
10000	AKT3
7532	YWHAG
10018	BCL2L11
7161	TP73
8626	TP63
8655	DYNLL1
7157	TP53
1869	E2F1
7159	TP53BP2
7029	TFDP2
7027	TFDP1
5366	PMAIP1
23368	PPP1R13B
140735	DYNLL2
90427	BMF
717	C2
629	CFB
727	C5
5199	CFP
718	C3
2901	GRIK5
2898	GRIK2
2897	GRIK1
83988	NCALD
808	CALM3
1739	DLG1
1742	DLG4
2899	GRIK3
1741	DLG3
2900	GRIK4
801	CALM1
814	CAMK4
836	CASP3
842	CASP9
317	APAF1
840	CASP7
54205	CYCS
1676	DFFA
1677	DFFB
3024	HIST1H1A
3008	HIST1H1E
3148	HMGB2
3005	H1F0
3006	HIST1H1C
3009	HIST1H1B
3007	HIST1H1D
286826	LIN9
7083	TK1
7298	TYMS
5933	RBL1
5111	PCNA
3065	HDAC1
6241	RRM2
1874	E2F4
1719	DHFR
5422	POLA1
81620	CDT1
5934	RBL2
898	CCNE1
55957	LIN37
26271	FBXO5
1875	E2F5
91750	LIN52
132660	LIN54
55970	GNG12
2786	GNG4
54331	GNG2
2782	GNB1
2783	GNB2
2550	GABBR1
2784	GNB3
3766	KCNJ10
3759	KCNJ2
2788	GNG7
3760	KCNJ3
2787	GNG5
2792	GNGT1
3765	KCNJ9
3761	KCNJ4
3762	KCNJ5
9568	GABBR2
3772	KCNJ15
3763	KCNJ6
3773	KCNJ16
2785	GNG3
94235	GNG8
2793	GNGT2
113	ADCY7
2771	GNAI2
2773	GNAI3
115	ADCY9
2774	GNAL
114	ADCY8
112	ADCY6
109	ADCY3
2770	GNAI1
108	ADCY2
107	ADCY1
346562	GNAT3
111	ADCY5
196883	ADCY4
32	ACACB
6667	SP1
6713	SQLE
5465	PPARA
6720	SREBF1
4802	NFYC
6907	TBL1X
6319	SCD
6721	SREBF2
2224	FDPS
1717	DHCR7
4047	LSS
9453	GGPS1
3156	HMGCR
4597	MVD
5469	MED1
10654	PMVK
4598	MVK
6604	SMARCD3
4800	NFYA
79071	ELOVL6
3422	IDI1
4520	MTF1
3157	HMGCS1
2222	FDFT1
8648	NCOA1
7108	TM7SF2
6309	SC5D
31	ACACA
2194	FASN
80205	CHD9
4801	NFYB
96764	TGS1
79718	TBL1XR1
57678	GPAM
85441	HELZ2
10681	GNB5
2791	GNG11
51764	GNG13
59345	GNB4
50859	SPOCK3
4313	MMP2
4323	MMP14
7076	TIMP1
5045	FURIN
1513	CTSK
7077	TIMP2
4324	MMP15
4320	MMP11
4318	MMP9
4316	MMP7
4312	MMP1
5645	PRSS2
1511	CTSG
4319	MMP10
4314	MMP3
4322	MMP13
4326	MMP17
3818	KLKB1
1991	ELANE
4325	MMP16
64386	MMP25
4317	MMP8
10893	MMP24
80781	COL18A1
5340	PLG
1515	CTSV
440387	CTRB2
1215	CMA1
8915	BCL10
84433	CARD11
4794	NFKBIE
5966	REL
5579	PRKCB
10892	MALT1
9133	CCNB2
91754	NEK9
140609	NEK7
10783	NEK6
84254	CAMKK1
5923	RASGRF1
5924	RASGRF2
5894	RAF1
2905	GRIN2C
5567	PRKACB
5566	PRKACA
88	ACTN2
2902	GRIN1
2903	GRIN2A
2906	GRIN2D
5568	PRKACG
815	CAMK2A
10142	AKAP9
816	CAMK2B
2904	GRIN2B
6237	RRAS
818	CAMK2G
3265	HRAS
27330	RPS6KA6
4747	NEFL
817	CAMK2D
673	BRAF
6300	MAPK12
5565	PRKAB2
10891	PPARGC1A
5571	PRKAG1
5564	PRKAB1
5563	PRKAA2
51422	PRKAG2
53632	PRKAG3
6654	SOS1
5062	PAK2
5058	PAK1
5879	RAC1
10298	PAK4
8440	NCK2
4690	NCK1
9353	SLIT2
57144	PAK5
6655	SOS2
6091	ROBO1
5063	PAK3
3845	KRAS
4893	NRAS
10125	RASGRP1
25780	RASGRP3
50846	DHH
132884	EVC2
5727	PTCH1
1452	CSNK1A1
50937	CDON
156	GRK2
23288	IQCE
2619	GAS1
2622	GAS8
6469	SHH
2121	EVC
11127	KIF3A
3549	IHH
6608	SMO
91653	BOC
84455	EFCAB7
6229	RPS24
1974	EIF4A2
6203	RPS9
26986	PABPC1
6209	RPS15
8664	EIF3D
8665	EIF3F
6193	RPS5
6194	RPS6
6201	RPS7
6230	RPS25
6204	RPS10
8661	EIF3A
6232	RPS27
6210	RPS15A
